,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Apogon luteus,APLU,Apogonidae,NA,Cardinalfish,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Naso hexacanthus,NAHE,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,Planktivore,75,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,75,5,Pk,0,,,,
Naso vlamingii,NAVL,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,NA,60,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,NA,NA,60,3,NA,NA,,,,
Naso vlamingii,NAVL,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,NA,60,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,NA,NA,60,3,NA,NA,,,,
Pervagor janthinosoma,PEJA,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,13,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,13.5,2,NA,NA,,,,
Apogonidae,CARD,Apogonidae,NA,Cardinalfish,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Archamia biguttata,ARBI,Apogonidae,NA,Cardinalfish,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Canthigaster amboinensis,CAAM,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,15,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,14,1,H,0,,OTH_HERB,,
Blenniidae,BLEN,Blenniidae,NA,Blenny,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Ostracion whitleyi,OSWH,Ostraciidae,Ostraciidae,Boxfish,SECONDARY,Omnivore,NA,15.5,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,16,1,NA,NA,,,,
Pervagor melanocephalus,PEME,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,16,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,10,2,NA,NA,,,,
Arothron nigropunctatus,ARNI,Tetraodontidae,Tetraodontidae,Pufferfish,SECONDARY,Carnivore,NA,33,Reef,1,Corallivore,,Corallivore,NA,NA,33,2,NA,NA,,,,
Pervagor spilosoma,PESP,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,18,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,18,2,NA,NA,,,,
Zanclus cornutus,ZACO,Zanclidae,Zanclidae,Moorish idol,SECONDARY,Omnivore,NA,23,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,20,3,NA,NA,,,,
Gymnothorax eurostus,GYEU,Muraenidae,Muraenidae,Moray,SECONDARY,Carnivore,NA,60,Reef,1,Piscivore,Pisci-invertivore,Generalist carnivore,NA,NA,60,1,NA,NA,,,,
Ctenochaetus marginatus,CTMA,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Detritivore,NA,27,Reef,1,Detritivore,,Detritivore,NA,NA,29,3,NA,NA,,,,
Ostracion meleagris,OSME,Ostraciidae,Ostraciidae,Boxfish,SECONDARY,Omnivore,NA,25,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,28,1,NA,NA,,,,
Sufflamen bursa,SUBU,Balistidae,Balistidae,Triggerfish,SECONDARY,Omnivore,NA,25,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,28,1,NA,NA,,,,
Pseudodax moluccanus,PSMO,Labridae,Labridae,Wrasse,SECONDARY,Omnivore,NA,30,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,26,1,NA,NA,,,,
Rhinecanthus aculeatus,RHAC,Balistidae,Balistidae,Triggerfish,SECONDARY,Omnivore,NA,30,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,30,1,NA,NA,,,,
Rhinecanthus rectangulus,RHRE,Balistidae,Balistidae,Triggerfish,SECONDARY,Omnivore,NA,30,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,25,1,NA,NA,,,,
Ostracion cubicus,OSCU,Ostraciidae,Ostraciidae,Boxfish,PRIMARY,Omnivore,Herb,45,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,45,1,H,0,,,,
Odonus niger,ODNI,Balistidae,Balistidae,Triggerfish,PLANKTIVORE,Planktivore,Planktivore,50,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,40,4,Pk,0,,,,
Chaetodon miliaris,CHMI,Chaetodontidae,Chaetodontidae,Butterflyfish,PLANKTIVORE,Planktivore,Planktivore,13,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,16,2,Pk,0,,,,
Chromis acares,CHAC,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,4,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,6,4,Pk,0,,,,
Calotomus zonarchus,CAZO,Scaridae,Scaridae,Parrotfish,PRIMARY,Herbivore,Herb,33,Reef,1,Browser,,Scraper,B ,B ,30,3,H,0,,,,
Arothron hispidus,ARHI,Tetraodontidae,Tetraodontidae,Pufferfish,SECONDARY,Omnivore,NA,50,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,52,1,NA,NA,,,,
Aluterus scriptus,ALSC,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,110,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,76,1,NA,NA,,,,
Cheilinus oxycephalus,CHOX,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,17,Reef,1,Macro-invertivore,,Invertivore,NA,NA,17,2,NA,NA,,,,
Chaetodon flavocoronatus,CHFL,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,12,Reef,1,Micro-invertivore,,Corallivore,NA,NA,12,2,NA,NA,,,,
Chaetodon punctatofasciatus,CHPU,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,12,Reef,1,Micro-invertivore,,Corallivore,NA,NA,12,2,NA,NA,,,By Ivor,"Micro-invert, benthic omnivore, Detritivore, Planktivore, Grazer"
Chaetodon pelewensis,CHPW,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,12.5,Reef,1,Micro-invertivore,,Corallivore,NA,NA,13,2,NA,NA,,,,
Chaetodon citrinellus,CHCI,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,13,Reef,1,Micro-invertivore,,Corallivore,NA,NA,13,2,NA,NA,,,,
Chaetodon kleinii,CHKL,Chaetodontidae,Chaetodontidae,Butterflyfish,PLANKTIVORE,Carnivore,Planktivore,15,Reef,1,Micro-invertivore,,Corallivore,PK,PK,14,2,Pk,0,,,,
Chaetodon quadrimaculatus,CHQU,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,16,Reef,1,Micro-invertivore,,Corallivore,NA,NA,16,2,NA,NA,,,,
Heniochus chrysostomus,HECH,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,18,Reef,1,Micro-invertivore,,Corallivore,NA,NA,18,2,NA,NA,,,,
Heniochus varius,HEVA,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,19,Reef,1,Micro-invertivore,,Corallivore,NA,NA,19,2,NA,NA,,,,
Amanses scopas,AMSC,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Carnivore,NA,20,Reef,1,Micro-invertivore,,Corallivore,NA,NA,20,1,NA,NA,,,,
Gymnothorax flavimarginatus,GYFL,Muraenidae,Muraenidae,Moray,PISCIVORE,Carnivore,NA,240,Reef,1,Piscivore,Nocturnal piscivore,Nocturnal piscivore,NA,NA,240,1,NA,NA,,,,
Decapterus macarellus,DEMA,Carangidae,Carangidae,Jack,PLANKTIVORE,Planktivore,Planktivore,46,Pelagic,0,Planktivore,,Diurnal planktivore,PK,PK,35,4,Pk,0,,,,
Doryrhamphus excisus excisus,DOEX,Syngnathidae,NA,Pipefishes and seahorses,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Echeneis naucrates,ECNA,Echeneidae,NA,Remora,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Gymnothorax javanicus,GYJA,Muraenidae,Muraenidae,Moray,PISCIVORE,Carnivore,NA,300,Reef,1,Piscivore,Nocturnal piscivore,Nocturnal piscivore,NA,NA,300,1,NA,NA,,,,
Chaetodon auriga,CHAU,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,23,Reef,1,Micro-invertivore,,Corallivore,NA,NA,23,2,NA,NA,,,,
Encrasicholina purpurea,ENPU,Engraulidae,Engraulidae,Anchovy,PLANKTIVORE,Planktivore,Planktivore,7.5,Pelagic,0,NA,,Diurnal planktivore,PK,PK,8,5,Pk,0,,,,
Chaetodon vagabundus,CHVG,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,23,Reef,1,Micro-invertivore,,Corallivore,NA,NA,23,2,NA,NA,,,,
Chaetodon ephippium,CHEP,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,30,Reef,1,Micro-invertivore,,Corallivore,NA,NA,23,2,NA,NA,,,,
Cantherhines dumerilii,CADU,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Carnivore,NA,38,Reef,1,Micro-invertivore,,Corallivore,NA,NA,38,2,NA,NA,,,,
Hemiramphidae,HALF,Hemiramphidae,NA,Halfbeak,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Plagiotremus goslinei,PLGO,Blenniidae,Blenniidae,Blenny,SECONDARY,Carnivore,NA,6.3,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,10,1,NA,NA,,,,
Cirrhitichthys falco,CIFL,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,7,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,9,2,NA,NA,,,,
Neocirrhites armatus,NEAR,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,9,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,9,2,NA,NA,,,,
Cirrhitichthys oxycephalus,CIOX,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,10,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,12,3,NA,NA,,,,
Paracirrhites xanthus,PAXA,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,10,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,11,1,NA,NA,,,,
Chromis agilis,CHAG,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,7.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,11,4,Pk,0,,,,
Hyporhamphus acutus acutus,HYAC,Hemiramphidae,NA,Halfbeak,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Plagiotremus ewaensis,PLEW,Blenniidae,Blenniidae,Blenny,SECONDARY,Carnivore,NA,10.2,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,10,1,NA,NA,,,,
Aspidontus taeniatus,ASTA,Blenniidae,Blenniidae,Blenny,SECONDARY,Carnivore,NA,11.5,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,12,1,NA,NA,,,,
Cephalopholis sexmaculata,CESX,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,50,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,50,1,NA,NA,,,,
Lethrinus olivaceus,LEOL,Lethrinidae,Lethrinidae,Emperor,PISCIVORE,Carnivore,NA,100,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,100,4,NA,NA,,,,
Lethrinus xanthochilus,LEXA,Lethrinidae,Lethrinidae,Emperor,PISCIVORE,Carnivore,NA,70,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,62,1,NA,NA,,,,
Cephalopholis urodeta,CEUR,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,28,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,28,1,NA,NA,,,,
Lutjanus fulvus,LUFU,Lutjanidae,Lutjanidae,Snapper,SECONDARY,Carnivore,NA,40,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,43,3,NA,NA,,,,
Lutjanus semicinctus,LUSE,Lutjanidae,Lutjanidae,Snapper,PISCIVORE,Carnivore,NA,35,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,35,3,NA,NA,,,,
Manta birostris,MABI,Myliobatidae,Mobulidae,Manta Ray,PLANKTIVORE,Planktivore,Planktivore,910,Pelagic,0,Planktivore,,Diurnal planktivore,PK,PK,800,1,Pk,0,,,,
Epibulus insidiator,EPIN,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,54,Reef,1,Pisci-invertivore,,Generalist carnivore,NA,NA,54,1,NA,NA,,,,
Chromis alpha,CHAL,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,8.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8.5,4,Pk,0,,,,
Microdesmidae,DART,Microdesmidae,NA,Wormfish,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Myripristinae,MYSP,Holocentridae,NA,Soldierfish,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Plagiotremus rhinorhynchos,PLRH,Blenniidae,Blenniidae,Blenny,SECONDARY,Carnivore,NA,12,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,10,1,NA,NA,,,,
Chaetodon bennetti,CHBE,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,20,Reef,1,Corallivore,,Corallivore,NA,NA,18,2,NA,NA,,,,
Plagiotremus tapeinosoma,PLTA,Blenniidae,Blenniidae,Blenny,SECONDARY,Carnivore,NA,14,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,10,1,NA,NA,,,,
Cirrhitops hubbardi,CIHU,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,25,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,7.5,1,NA,NA,,,,
Chromis amboinensis,CHAM,Pomacentridae,Pomacentridae,Damselfish,PRIMARY,Planktivore,Herb,10,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,OTH_HERB,OTH_HERB,8,4,H,0,,,,
Paracirrhites hemistictus,PAHE,Cirrhitidae,Cirrhitidae,Hawkfish,PISCIVORE,Carnivore,NA,29,Reef,1,Micro-invertivore,,Diurnal piscivore,NA,NA,28,1,NA,NA,,,,
Plectroglyphidodon imparipennis,PLIM,Pomacentridae,Pomacentridae,Damselfish,SECONDARY,Planktivore,NA,6,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,NA,NA,6,1,NA,NA,,,,
Chromis hanui,CHHA,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,6,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,9,3,Pk,0,,,,
Chromis iomelas,CHIO,Pomacentridae,Pomacentridae,Damselfish,PRIMARY,Planktivore,Herb,8,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,OTH_HERB,OTH_HERB,8,4,H,0,,,,
Chromis lepidolepis,CHLE,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,9,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,4,Pk,0,,,,
Cirrhilabrus katherinae,CIKA,Labridae,Labridae,Wrasse,PLANKTIVORE,Planktivore,Planktivore,7.1,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,PK,PK,9,4,Pk,0,,,,
Chromis margaritifer,CHMA,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,9,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,4,Pk,0,,,,
Chromis ovalis,CHOV,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,15,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,19,3,Pk,0,,,,
Chromis ternatensis,CHTE,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,10.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,4,Pk,0,,,,
Chromis vanderbilti,CHVA,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,4.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,15,5,Pk,0,,,,
Chromis verater,CHVE,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,16,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,22,5,Pk,0,,,,
Chromis viridis,CHVR,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,10,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,5,Pk,0,,,,
Cirrhilabrus jordani,CIJO,Labridae,Labridae,Wrasse,PLANKTIVORE,Planktivore,Planktivore,10,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,PK,PK,10,4,Pk,0,,,,
Cirrhilabrus exquisitus,CIEX,Labridae,Labridae,Wrasse,PLANKTIVORE,Planktivore,Planktivore,12,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,PK,PK,12,4,Pk,0,,,,
Chaetodon lunulatus,CHLT,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,14,Reef,1,Corallivore,,Corallivore,NA,NA,15,2,NA,NA,,,,
Chromis weberi,CHWE,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,13.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,12,4,Pk,0,,,,
Chaetodon melannotus,CHML,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,18,Reef,1,Corallivore,,Corallivore,NA,NA,15,2,NA,NA,,,,
Thalassoma amblycephalum,THAM,Labridae,Labridae,Wrasse,PLANKTIVORE,Planktivore,Planktivore,16,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,PK,PK,15,3,Pk,0,,,,
Pempheridae,SWEE,Pempheridae,NA,Sweeper,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon meyeri,CHME,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,20,Reef,1,Corallivore,,Corallivore,NA,NA,18,2,NA,NA,,,,
Chromis xanthura,CHXA,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,17,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,15,5,Pk,0,,,,
Chaetodon multicinctus,CHMU,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,12,Reef,1,Corallivore,,Corallivore,NA,NA,12,2,NA,NA,,,,
Chaetodon ornatissimus,CHOR,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,20,Reef,1,Corallivore,,Corallivore,NA,NA,20,2,NA,NA,,,,
Heniochus diphreutes,HEDI,Chaetodontidae,Chaetodontidae,Butterflyfish,PLANKTIVORE,Planktivore,Planktivore,21,Reef,1,Micro-invertivore,Diurnal planktivore,Diurnal planktivore,PK,PK,20,4,Pk,0,,,,
Labroides rubrolabiatus,LARU,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,9,Reef,1,Micro-invertivore,,Ectoparasites,NA,NA,9,2,NA,NA,,,,
Labroides pectoralis,LAPE,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,11,Reef,1,Micro-invertivore,,Ectoparasites,NA,NA,8,2,NA,NA,,,,
Labroides phthirophagus,LAPH,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,12,Reef,1,Micro-invertivore,,Ectoparasites,NA,NA,10,2,NA,NA,,,,
Labroides dimidiatus,LADI,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,14,Reef,1,Micro-invertivore,,Ectoparasites,NA,NA,12,2,NA,NA,,,,
Chaetodon reticulatus,CHRE,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,18,Reef,1,Corallivore,,Corallivore,NA,NA,18,2,NA,NA,,,,
Labroides bicolor,LABI,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,15,Reef,1,Micro-invertivore,,Ectoparasites,NA,NA,14,2,NA,NA,,,,
Pristilepis oligolepis,PROL,Holocentridae,NA,Soldierfish,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Pseudocheilinus evanidus,PSEV,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,9,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,14,1,NA,NA,,,,
Chaetodon trifascialis,CHTR,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,18,Reef,1,Corallivore,,Corallivore,NA,NA,18,2,NA,NA,,,,
Sebastapistes coniorta,SECO,Scorpaenidae,Scorpaenidae,Scorpionfish,SECONDARY,Carnivore,NA,10,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,10,1,NA,NA,,,,
Chaetodon unimaculatus,CHUN,Chaetodontidae,Chaetodontidae,Butterflyfish,SECONDARY,Carnivore,NA,20,Reef,1,Corallivore,,Corallivore,NA,NA,20,2,NA,NA,,,,
Sebastapistes cyanostigma,SECY,Scorpaenidae,Scorpaenidae,Scorpionfish,SECONDARY,Carnivore,NA,10,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,7,1,NA,NA,,,,
Paracirrhites arcatus,PAAR,Cirrhitidae,Cirrhitidae,Hawkfish,SECONDARY,Carnivore,NA,20,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,14,1,NA,NA,,,,
Pseudanthias ventralis hawaiiensis,PSHW,Serranidae,NA,Anthias,PLANKTIVORE,Planktivore,Planktivore,NA,NA,NA,NA,,Diurnal planktivore,PK,PK,10,5,Pk,0,,,,
Paracirrhites forsteri,PAFO,Cirrhitidae,Cirrhitidae,Hawkfish,PISCIVORE,Carnivore,NA,22,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,23,1,NA,NA,,,,
Thalassoma duperrey,THDU,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,28,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,26,3,NA,NA,,,,
Gomphosus varius,GOVA,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,30,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,32,1,NA,NA,,,,
Sufflamen fraenatum,SUFR,Balistidae,Balistidae,Triggerfish,SECONDARY,Carnivore,NA,38,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,38,1,NA,NA,,,,
Pterocaesio marri,PTMA,Caesionidae,Caesionidae,Fusilier,PLANKTIVORE,Planktivore,Planktivore,35,Pelagic,0,Planktivore,,Diurnal planktivore,PK,PK,35,5,Pk,0,,,,
Pterocaesio tile,PTTI,Caesionidae,Caesionidae,Fusilier,PLANKTIVORE,Planktivore,Planktivore,30,Pelagic,0,Planktivore,,Diurnal planktivore,PK,PK,30,5,Pk,0,,,,
Pterocaesio trilineata,PTTR,Caesionidae,Caesionidae,Fusilier,PLANKTIVORE,NA,Planktivore,20,Pelagic,0,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Selar crumenophthalmus,SECR,Carangidae,Carangidae,Jack,PLANKTIVORE,Planktivore,Planktivore,70,Pelagic,0,NA,,Nocturnal planktivore,PK,PK,30,5,Pk,0,,,,
Siphamia sp,SISP,Apogonidae,NA,Cardinalfish,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Spratelloides delicatulus,SPDE,Clupeidae,Clupeidae,Herring etc,PLANKTIVORE,Planktivore,Planktivore,7,Pelagic,0,NA,,Diurnal planktivore,PK,PK,7,5,Pk,0,,,,
Dascyllus albisella,DAAL,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Omnivore,Planktivore,13,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,12,4,Pk,0,,,,
Dascyllus aruanus,DAAR,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,10,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,4,Pk,0,,,,
Syngnathidae,PIPE,Syngnathidae,NA,Pipefishes and seahorses,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Dascyllus auripinnis,DAAU,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,11.5,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,16,4,Pk,0,,,,
Dascyllus reticulatus,DARE,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,9,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,8,4,Pk,0,,,,
Scarus fuscocaudalis,SCFU,Scaridae,Scaridae,Parrotfish,PRIMARY,NA,Herb,25,Reef,1,Excavator/scraper,Scrapers/small excavators,NA,SSE,SSE,NA,NA,H,0,,,,
Scarus tricolor,SCTR,Scaridae,Scaridae,Parrotfish,PRIMARY,Herbivore,Herb,26.6,Reef,1,Excavator/scraper,Scrapers/small excavators,Scraper,SSE,SSE,55,1,H,0,,,,
Scarus globiceps,SCGL,Scaridae,Scaridae,Parrotfish,PRIMARY,Herbivore,Herb,27,Reef,1,Excavator/scraper,Scrapers/small excavators,Scraper,SSE,SSE,31,3,H,0,,,,
Thalassoma ballieui,THBA,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,39.5,Reef,1,Micro-invertivore,,Generalist carnivore,NA,NA,43,3,NA,NA,,,,
Dascyllus trimaculatus,DATR,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,11,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,14,3,Pk,0,,,,
Genicanthus personatus,GEPE,Pomacanthidae,Pomacanthidae,Angelfish,PLANKTIVORE,Planktivore,Planktivore,21,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,25,3,Pk,0,,,,
Acanthuridae,SURG,Acanthuridae,NA,Surgeonfish,PRIMARY,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
